D;hD;wD;cost;wiggleMargin;fitness;utility;maxHeight0;maxHeight1;maxHeight2;maxHeight3;maxHeight4;maxHeight5;maxHeight6;maxHeight7;maxHeight8;maxHeight9;maxHeight10;heightFitness;heightUtility;maxWidth0;maxWidth1;maxWidth2;maxWidth3;maxWidth4;maxWidth5;maxWidth6;maxWidth7;maxWidth8;maxWidth9;maxWidth10;widthFitness;widthUtility;maxSets0;maxSets1;maxSets2;maxSets3;maxSets4;maxSets5;maxSets6;maxSets7;maxSets8;maxSets9;maxSets10;setsFitness;setsUtility
2,0,0,2,3,0.1587466064,0.07937330322,0.89841,0.01005,0.01059,0.01004,0.00991,0.01046,0.01024,0.00964,0.00948,0.01062,0.01056,0.055923,0.0279615,0.89841,0,0.10159,0,0,0,0,0,0,0,0,0.050795,0.0253975,0.89841,0.10159,0,0,0,0,0,0,0,0,0,0.05202860645,0.02601430322
3,0,0,3,3,0.4376143963,0.1458714654,0.72222,0.02771,0.02749,0.02723,0.02748,0.02777,0.02767,0.0276,0.02789,0.02894,0.028,0.153595,0.05119833333,0.72222,0,0.26798,0.0098,0,0,0,0,0,0,0,0.1417563163,0.04725210542,0.72222,0.27778,0,0,0,0,0,0,0,0,0,0.14226308,0.04742102667
4,0,0,4,3,0.7962303428,0.1990575857,0.50385,0.04673,0.04738,0.0484,0.04984,0.04889,0.04905,0.05047,0.05207,0.05075,0.05257,0.27771,0.0694275,0.50385,0,0.4577,0.03722,0.00123,0,0,0,0,0,0,0.2595761521,0.06489403803,0.50385,0.46838,0.02777,0,0,0,0,0,0,0,0,0.2589441906,0.06473604766
5,0,0,5,3,1.157056784,0.2314113567,0.30266,0.05863,0.06058,0.06283,0.06665,0.06919,0.07033,0.07295,0.07619,0.07863,0.08136,0.404425,0.080885,0.30266,0,0.61105,0.08155,0.00472,0.00002,0,0,0,0,0,0.3748950652,0.07497901305,0.30266,0.57926,0.11808,0,0,0,0,0,0,0,0,0.3777367183,0.07554734365
6,0,0,6,3,1.472647207,0.2454412011,0.15329,0.05747,0.06408,0.06799,0.07451,0.08084,0.08788,0.09416,0.10009,0.10528,0.11441,0.517058,0.08617633333,0.15329,0,0.68978,0.14477,0.01156,0.00058,0.00002,0,0,0,0,0.4718767194,0.0786461199,0.15329,0.56631,0.26965,0.01075,0,0,0,0,0,0,0,0.4837124872,0.08061874787
7,0,0,7,3,1.733659144,0.247665592,0.06092,0.04414,0.05564,0.06581,0.07489,0.08492,0.09805,0.10957,0.12259,0.13378,0.14969,0.611394,0.087342,0.06092,0,0.69084,0.22133,0.02502,0.00181,0.00008,0,0,0,0,0.5480446186,0.07829208837,0.06092,0.44216,0.43587,0.06105,0,0,0,0,0,0,0,0.5742205255,0.08203150365
8,0,0,8,3,1.940473394,0.2425591743,0.01804,0.02776,0.03957,0.05244,0.06562,0.08348,0.10094,0.11962,0.14098,0.16328,0.18827,0.686714,0.08583925,0.01804,0,0.61769,0.31459,0.04517,0.00417,0.00034,0,0,0,0,0.6086023403,0.07607529253,0.01804,0.28007,0.5222,0.17443,0.00526,0,0,0,0,0,0,0.6451570541,0.08064463176
9,0,0,9,3,2.101439769,0.2334933077,0.00351,0.01403,0.02514,0.03903,0.05363,0.07479,0.09774,0.12558,0.15323,0.18884,0.22448,0.740557,0.08228411111,0.00351,0,0.5124,0.39959,0.07518,0.00855,0.00074,0.00003,0,0,0,0.6589723719,0.07321915243,0.00351,0.13893,0.49342,0.33024,0.0339,0,0,0,0,0,0,0.7019103974,0.07799004415
10,0,0,10,3,2.23628747,0.223628747,0.00042,0.00514,0.01356,0.02578,0.04338,0.06286,0.0896,0.12318,0.16145,0.21148,0.26315,0.78237,0.078237,0.00042,0,0.39463,0.47785,0.11076,0.01501,0.00125,0.00007,0.00001,0,0,0.7059170948,0.07059170948,0.00042,0.05567,0.3685,0.45937,0.11279,0.00325,0,0,0,0,0,0.7480003749,0.07480003749
1,1,0,3,3,0.1899140419,0.06330468062,0.90068,0,0,0,0,0,0,0,0,0.09932,0,0.089388,0.029796,0.90068,0,0.09932,0,0,0,0,0,0,0,0,0.04966,0.01655333333,0.90068,0.09932,0,0,0,0,0,0,0,0,0,0.05086604186,0.01695534729
2,1,0,4,3,0.501202143,0.1253005357,0.7216,0.00961,0.00947,0.00976,0.01053,0.00971,0.00997,0.00946,0.00964,0.18969,0.01056,0.216447,0.05411175,0.7216,0,0.26823,0.01017,0,0,0,0,0,0,0,0.1421745343,0.03554363358,0.7216,0.2784,0,0,0,0,0,0,0,0,0,0.1425806087,0.03564515217
3,1,0,5,3,0.8733111137,0.1746622227,0.50631,0.02429,0.02488,0.0247,0.02467,0.02493,0.02584,0.02532,0.02477,0.26582,0.02847,0.3579,0.07158,0.50631,0,0.45698,0.03576,0.00095,0,0,0,0,0,0,0.2577791295,0.0515558259,0.50631,0.46622,0.02747,0,0,0,0,0,0,0,0,0.2576319842,0.05152639684
